Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
Resources for Independence-Advocacy,"<h2>Resources for Independence</h2>
The purpose of Resources for Independence is to provide services that promote independence, accessibility, self-advocacy, productivity, and quality of life for all individuals or groups of individuals with all types of significant disabilities, (A significant disability is one which affects a person in a limiting way in one or more areas of life functions such as: mobility, cognitive reasoning, communication, etc .)
<h4>Services are provided to those residing in Allegany, Garrett, and Washington Counties in Maryland.</h4>",aging-populations;disabled-populations,,,,1-301-783-1752,http://www.rficil.org/,https://www.facebook.com/Resources-for-Independence-Inc-211242995554679/,,2558
"Friends Aware, Inc.-Residential group homes, vocational","<table border=""0"" width=""800"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td valign=""top"" width=""290"">
<p align=""left""><span style=""color: #000000; font-family: Arial, Helvetica, sans-serif; font-size: large;""><strong><em><span style=""font-size: medium;"">The Friends Aware Residential Program</span></em></strong></span><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;""> serves individuals in Alternate Living Units and Group Homes located in apartments or homes in the Allegany County area. Each home is designed to focus around the needs, interests and desires of the individuals living in the home.</span></p>
<p align=""left""><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">We offer a broad range of options from homes for individuals with multiple disabilities who require 24-hour supervision and assistance, to homes for individuals who are much more independent and need drop-in support.</span></p>
<p align=""left""><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">We encourage individuals to learn and improve skills that lead to increased independence.</span></p>
<p align=""left""><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">We provide assistance and training in financial management, meal preparation, housekeeping, laundry care, telephone usage, medication administration, behavioral support, nursing case management, transportation, medical care, usage of medical and adaptive equipment, assistance with psychiatric care, hygiene, grooming, relationship building, socialization, therapy and grocery shopping.</span></p>
<p align=""left""><span style=""color: #000000; font-family: Arial, Helvetica, sans-serif; font-size: large;""><strong><em><span style=""font-size: medium;"">The Supported Living Program</span></em></strong></span><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">provides creative, individualized, and self-directed community living services to people with intellectual disabilities. The majority of the services provided are Community Supported Living Arrangements and Individual Support Services.</span></p>
</td>
<td valign=""top"" width=""20""></td>
<td valign=""top"" width=""290"">
<p align=""left""><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">Supported Living is focused on assisting each individual to discover his or her true life potential, while building supports to enhance each person’s growth. Individuals are encouraged to develop friendships and relationships with others. Many social, leisure, and spiritual options are available for service recipients. We provide services and relational supports to individuals who choose to marry. Supported Living encourages diversity in lifestyle choices and supports individual choices.</span></p>
<p align=""left""><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">Individuals are supported in their own homes or in residences that are obtained with the assistance of Friends Aware.</span></p>
<p align=""left""><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">All services are directed by each individual as documented in his or her Individual Plan. Individuals may choose from an array of services as they develop their plans.</span></p>
<p align=""left""><span style=""color: #000000; font-family: Arial, Helvetica, sans-serif; font-size: medium;""><strong><em>Services include:
</em></strong></span><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">• Nursing Case Management
</span><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">• Staff Support
• Financial &amp; Asset Management
• Home &amp; Transportation Management
• Training
• Therapy
• Behavioral Support Plans
• Social &amp; Recreational Activities
• Ancillary Activities</span></p>
<p align=""left""><span style=""color: #000000; font-family: Arial, Helvetica, sans-serif; font-size: medium;""><strong><em>Respite Services </em></strong></span><span style=""color: #000000; font-family: 'Times New Roman', Times, serif; font-size: medium;"">provide temporary care to an individual in their home or in one of our homes with respite facilities. The service is meant to provide planned or emergency care for adults with intellectual disabilities.</span></p>
</td>
</tr>
</tbody>
</table>",aging-populations;disabled-populations,webmaster@friendsaware.org,301-724-8965,,1-301-722-7268,http://www.friendsaware.org/residential.html,https://www.facebook.com/FriendsAware/,,2288
"The Coordinating Center-Care coordination, community programs","<h1 id=""title"">Home and Community-Based Options Waiver/CFC/MAPC</h1>
The Coordinating Center’s Adult Community Services division provides supports planning services to individuals with disabilities and special needs and older adults, who live in the community and want to remain in the community or are living in a Maryland nursing facility and want to move to a home.
<h2>Home and Community-Based Options Waiver Program</h2>
This program provides an array of home and community-based services that assist Medicaid beneficiaries to live and remain in the community of their choice. The Community-Based Options Waiver includes a combination of services provided in the past by the Living at Home Waiver and Waiver for Older Adults.  These waivers were combined into one Community-based Options Waiver on January 6, 2014.

<b>Covered Services</b>
<ul>
 	<li>Personal Assistance Services</li>
 	<li>Case Management/Supports Planning</li>
 	<li>Nurse Monitoring</li>
 	<li>Personal Emergency Back-up Systems</li>
 	<li>Transition Services</li>
 	<li>Consumer Training</li>
 	<li>Home Delivered Meals</li>
 	<li>Assistive Technology</li>
 	<li>Accessibility Adaptations</li>
 	<li>Environmental Assessments</li>
 	<li>Medical Day Care</li>
 	<li>Nutritionist/Dietician</li>
 	<li>Family Training</li>
 	<li>Behavioral Consultation</li>
 	<li>Assisted Living</li>
 	<li>Senior Center Plus</li>
</ul>
<b>Eligibility
Medical and Technical Criteria</b>
<ul>
 	<li>Individuals must have a nursing facility level of care based on a uniform medical assessment.</li>
</ul>
<b>Financial Criteria</b>
<ul>
 	<li>An individual’s income and assets are reviewed to determine financial eligibility for Medical Assistance.</li>
 	<li>The monthly income of an individual may not exceed 300% of SSI benefits, and the countable assets may not exceed $2,000 or $2,500 (depending on eligibility category).</li>
 	<li>Only the income and assets of the individual (and assets of any spouse) are considered in determining financial eligibility.</li>
</ul>
<h2>Community First Choice (CFC) Program</h2>
This program provides community services and supports to enable older adults, people with disabilities and those on the <a title=""This link opens in a new window"" href=""https://www.coordinatingcenter.org/wp-content/uploads/ICS-fact-sheet.pdf"" target=""_blank"" rel=""noopener"">Increased Community Services (ICS) program (PDF) </a>to live in their own home.

<b>Covered Services</b>
<ul>
 	<li>Personal Assistance Services</li>
 	<li>Case Management/Supports Planning</li>
 	<li>Nurse Monitoring</li>
 	<li>Personal Emergency Back-up Systems</li>
 	<li>Transition Services</li>
 	<li>Consumer Training</li>
 	<li>Home Delivered Meals</li>
 	<li>Assistive Technology</li>
 	<li>Accessibility Adaptations</li>
 	<li>Environmental Assessments</li>
</ul>
<b>Medical and Technical Criteria</b>
<ul>
 	<li>Individuals must have an institutional level of care based on a uniform medical assessment.</li>
</ul>
<b>Financial Criteria</b>
<ul>
 	<li>An individual’s income and assets are reviewed to determine financial eligibility for community Medicaid.</li>
 	<li>Medicaid coverage is for individuals determined to be categorically eligible or medically needy.</li>
 	<li>Medicaid coverage is automatically given to individuals receiving certain other public assistance, such as Supplemental Security Income (SSI), Temporary Cash Assistance (TCA), or Foster Care.</li>
</ul>
<h2>Medical Assistance Personal Care (MAPC) Program</h2>
This program provides assistance with activities of daily living to Medicaid recipients who have a chronic illness, medical condition or disability. Services are provided in the individual’s home or community residence.

<b>Covered Services</b>
<ul>
 	<li>Personal Assistance Services</li>
 	<li>Case Management/Supports Planning</li>
 	<li>Nurse Monitoring</li>
</ul>
The Adult Community Services division also provides care management to individuals through the <a title=""This link opens in a new window"" href=""https://www.coordinatingcenter.org/featured-programs/special-programs/housing-initiative-program-hip/"" target=""_blank"" rel=""noopener"">Housing Initiative Program</a> (HIP).",,brosencrantz@coordinatingcenter.org,,,1-410-987-1048,https://www.coordinatingcenter.org/featured-programs/homeandcommunitybased/,https://www.facebook.com/TheCoordinatingCenter/,,1918
"Abilities Network Autism, epilepsy, employment","Our services are customized to offer individuals and families choices. We offer extensive training opportunities to families, child care providers, teachers and community members with the goal of fostering inclusion. Our programs support children, adults, families and seniors in services who are affected by a variety of at-risk factors, including a diagnosed disability, lack of environmental supports, low-socioeconomic levels, and limited knowledge about resources and/or the capacity to access them.

<hr />

<strong> </strong>",,chammond@abilitiesnetwork.org,,,1-301-777-2895,http://abilitiesnetwork.org/,https://www.facebook.com/pg/Abilities-Network-127007813523/about/?ref=page_internal,,1755
Archway Station Residential and Day Services,"<div id=""id1488979309433"" class=""design-element element-size-box has-rich-content user-selectable-element clickable-element has-rich-content has-text is-section-child"" data-element-id=""id1488979309433"">
<div class=""element-main-box design-element-main-box has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309433"">
<div class=""element-border-box element-border-target element-padding-box design-element-border-box has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309433"">
<div class=""element-content-box design-element-content-box has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309433"">
<div class=""content-container content-container-type element-size-box element-size-target has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309433"">
<div class=""rich-text-element-content absolute-fill element-content dir-ltr"">
<div class=""rich-text-positioning-wrapper vertical-alignment-center"">
<div class=""rich-text-content common-rich-content-style has-content"">
<div><strong>Adults with Psychiatric Disabilities</strong></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<div id=""id1488979309434"" class=""design-element element-size-box user-selectable-element clickable-element has-popup image-element is-section-child"" data-element-id=""id1488979309434"">
<div class=""element-main-box design-element-main-box user-selectable-element clickable-element has-popup image-element"" data-element-id=""id1488979309434"">
<div class=""element-background-layer element-border-target design-element-background-layer user-selectable-element clickable-element has-popup image-element"" data-element-id=""id1488979309434""></div>
<div class=""element-background-image design-element-background-image state-displayed image-box-new optimize-speed state-image-loaded"">
<div class=""image-box-image-wrapper horizontal-center vertical-center stretchedToFill non-tile-layout use-image-element""><img class=""image-box-image-new"" src=""https://storage.googleapis.com/wzukusers/user-27284486/images/58bf19dd06494bTlkBuG/Top_Jobs_for_Helping_People.jpg"" width=""479"" height=""361"" /></div>
</div>
<div class=""element-border-box element-border-target element-padding-box design-element-border-box user-selectable-element clickable-element has-popup image-element"" data-element-id=""id1488979309434""></div>
</div>
</div>
<div id=""id1488979309435"" class=""design-element element-size-box has-rich-content user-selectable-element clickable-element has-rich-content has-text is-section-child"" data-element-id=""id1488979309435"">
<div class=""element-main-box design-element-main-box has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309435"">
<div class=""element-background-layer element-border-target design-element-background-layer has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309435""></div>
<div class=""element-border-box element-border-target element-padding-box design-element-border-box has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309435"">
<div class=""element-content-box design-element-content-box has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309435"">
<div class=""content-container content-container-type element-size-box element-size-target has-rich-content user-selectable-element clickable-element has-rich-content has-text"" data-element-id=""id1488979309435"">
<div class=""rich-text-element-content absolute-fill element-content dir-ltr"">
<div class=""rich-text-positioning-wrapper vertical-alignment-top"">
<div class=""rich-text-content common-rich-content-style has-content"">
<div><strong>Supported Housing:</strong>  Mobile flexible services for adults provided by a staffing team assigned to support people who live in their own home or apartment.  Typical services include: support with home management, finances, medications, food, and access to other services.  Face to face contact is usually provided 2-4 times per week, but can be increased/ decreased according to need.</div>
<div>​</div>
<div><strong>Residential Rehabilitation:</strong>  These time-limited services for adults are provided in a home owned or leased by the agency. A staffing team provides on-site support as needed in a 24-hour environment.  Some residential services are not 24-hour depending on the person’s needs.  These services are generally more intensive than supported housing.</div>
<div>​</div>
<div><strong>The Wellness &amp; Recovery Center:</strong>  People need other people as part of the recovery process. To help people avoid leading isolated lives, the Wellness and Recovery Center has been designed to offer activities that help adults expand their support networks and learn skills that are useful when dealing with a  mental health disability.  The center is open M-W-F from 9:00—1:30. Lunch is served from 11:00—11:45am. On T-T Center staff meet people downtown to participate in a community activity. Bagged lunches are provided downtown at 12pm. Center news is published monthly in the Short Takes newsletter. The letter is published by and for people in recovery and includes a schedule, menu and other news items.</div>
<div></div>
<div><strong>Targeted Case Management Services: </strong>​Services are coordinated to meet the specific needs of individuals with serious and persistent mental illness.  This service is a time-limited, focused and comprehensive service that assists people in accessing and choosing from a variety of community services needed to enhance their lives. Through comprehensive and periodic assessments, case managers assist people with accessing resources related to key living basics like housing, medications, mental health and medical health care, accessing entitlements, food, and any other resources that may be needed to assist the person with gaining safety and stability in the community</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",,,,,1-301-777-2895,http://www.archwaystation.net/,https://www.facebook.com/ArchwayStationInc/,,1940
Blind Industries and Services of Maryland-Services and employment for visually impaired,"For over 100 years, Blind Industries and Services of Maryland (BISM) has been changing people’s lives for the better. Unemployment among the blind is around 70%, and we work tirelessly to fix that. BISM looks to change that statistic by offering stable career opportunities and employment to over 600 individuals, most of which are blind or vision impaired. In addition to employment opportunities, <span class=""text_exposed_show"">we have some of the best rehabilitation training programs in the country. Our programs are free to Maryland residents and are designed to teach people of all ages how to live independently with vision impairments. We have an uncompromising belief in the capabilities of people who are blind and every day we see that belief born out in the accomplishments of our Associates and students.
</span>",disabled-populations,info@bism.org,,,1-301-724-4111,https://www.bism.org/employment,https://www.facebook.com/BISMpage/?ref=mf,,3181
Family Support Services- Special Education Network,"<strong><span class=""ms-rteForeColor-1"">Family Support </span>(birth to 3)</strong>

Family Support was created to meet the needs of Maryland families with children, birth to 3, who have been identified as having developmental delays or disabilities. Each local FSN, which is staffed by a parent of a child with a disability, provides information to families regarding community services; refers families to local support groups, workshops, and advocacy groups; provides opportunities for families to network and share ideas and experiences; and helps to link ""experienced"" parents with parents of newly identified children with similar special needs.

<strong><span class=""ms-rteForeColor-1"">Family Support</span> (3 through 5)</strong>

To help support families during the transition from the Infants and Toddlers Program (ITP) to the local school schystem (LSS) preschool special education program or other community-based early childhood setting—or from preschol into a school-age program—the Maryland State Department of Education makes funding available to expand services provided thorugh local family support. Family Support provides ongoing support to families of children ages 3 through 5, maintaining the connection with the local ITP, as well as fostering new connections among families, preschool programs, and community services.

<strong class=""ms-rteForeColor-1"">Family Support </strong><strong>(5 to 21)</strong>

Family Support Centers, established as part of each local school system in Maryland, have as their goal the provision of knowledge and the development of essential skills fundamental to parents and professionals working together as equal partners in the educational decision making process. Specifically, Family Support Centers seek to:
<ul>
 	<li>Increase parental involvement in the special education decision making process</li>
 	<li>Provide information and resources about disabilities and community services</li>
 	<li>Assist families in resolving concerns and making informed decisions regarding their child's education</li>
 	<li>Increase collaborative relationships through information and training</li>
</ul>",disabled-populations,kenneth.hudock@maryland.gov,,,1-240-920-6829,http://marylandpublicschools.org/programs/Pages/Special-Education/FSDR/FamilySupport.aspx,https://www.facebook.com/MdPublicSchools,,1865
Associated Charities of Allegany County,"<div>
<h1 class=""notranslate"">Associated Charities Of Cumberland: Emergency Assistance<span class=""infoPrividedBy"">Information Provided By: The Core Service Agencies</span></h1>
Utility, rent, fuel, food, clothing, transportation, etc., assistance for people in crisis situations. Once-a-year assistance.

</div>
<div>
<p id=""detailHours""><strong>Hours:</strong>
8:00 a.m. - 4:00 p.m. Monday-Friday</p>
<p id=""detailTargetGrp""><strong>Target Group:</strong>
Residents of Allegany County who are in crisis situations.</p>

</div>
&nbsp;",emergency-services,tjones8@dhr.state.md.us,(301) 784-7256,,1-301-784-7053,http://www.allegany.md.networkofcare.org/veterans/services/agency.aspx?pid=AssociatedCharitiesofCumberlandEmergencyAssistance_742_17_0,,,2089
Way Station Veterans Program,"<img src=""http://www.waystationinc.org/wp-content/uploads/2016/08/VetPage-1024x768.jpg"" alt=""VetPage"" />

Way Station receives grant funds from the U.S. Department of Labor and the U.S. Department of Veterans Affairs to provide service to veterans throughout the State of Maryland.

Veterans will find care and support in the following programs at Way Station:

<img src=""http://www.waystationinc.org/wp-content/uploads/2016/06/military-soldiers-sleeping-rest-37642-large-150x150.jpeg"" /><img src=""http://www.waystationinc.org/wp-content/uploads/2016/06/vettransition-150x150.jpg"" /><img src=""http://www.waystationinc.org/wp-content/uploads/2016/08/silhouettes-people-worker-dusk-40723-150x150.jpg"" />",veterans,,301-733-6220,,301-733-6063,,http://www.waystationinc.org/veterans-programs/,,2208
WVU School of Dentistry Dental Clinic,"General dental services are available in the WVU School of Dentistry student clinic. Treatment is closely supervised by experienced WVU faculty. Although visit times are generally longer than you would experience in private dental offices, fees are generally 40 to 50 percent less than a private dental office.",oral-health,dentaladmit@hsc.wvu.edu,,,(304) 598-4251,http://dentistry.hsc.wvu.edu/home/,https://www.facebook.com/pages/West-Virginia-University-School-of-Dentistry/113006132047728,,2273
YMCA,"Clothing (For Emergency Situations)

Monday-Thursday 9am-4pm and Friday 9am-12pm",emergency-services,,,,301-724-5445,http://www.cumberlandymca.org/about-us.html,https://www.facebook.com/pages/Cumberland-YMCA/103148293059115?ref=br_rs,,2826
St. Mary's Clothing Room,"<div>Provides free clothing to individuals and families in need.</div>
<div>
<p id=""detailHours""><strong>Hours:</strong>
Wednesday's 9:00 am to 11:00 am.</p>
<p id=""detailTargetGrp""><strong>Target Group:</strong>
Anyone infants through teenagers</p>
<strong>Application Process:</strong>
Just come to service address

</div>",emergency-services,OLMCumbeland@archbalt.org,301-777-2669,,1-301-777-2659,http://www.olmcumberland.org/churches/st-mary-of-the-immaculate-conception/,,,1820
Cumberland Community Church,"Clothing (For emergency situations)

2nd Saturday of month 9-11 am",emergency-services,,,,301-777-8839,http://cumberlandchurch.org/,https://www.facebook.com/Cumberland-Community-Church-Cumberland-Maryland-134168446655332/,,1359
Christian Counseling Services,"Outpatient Mental Health Provider

Dr. Seth Ramer",counseling;mental-health-services,,,,301-895-3117,,https://www.facebook.com/pages/Christian-Counseling-Services/105180933160879,,3287
Potomac Highlands Guild,"<span style=""font-size: medium;""><span style=""color: #032b01;"">Potomac Highlands Guild provides comprehensive behavioral health services for people diagnosed with mental illness, substance use issues, intellectual/developmental disabilities and other life problems in the most appropriate setting necessary to meet the clinical needs of the customer.</span></span>
<span style=""font-size: medium;""><span style=""color: #032b01;"">
We abide by the ethical standards of practice as established by the American Psychiatric Association, the American Psychological Association, the National Board of Certified Counselors and the National Association of Social Workers.</span></span>
<span style=""font-size: medium;""><span style=""color: #032b01;"">
Potomac Highlands Guild is one of thirteen comprehensive behavioral health providers in West Virginia.  Also, the Guild is a member of the West Virginia Behavioral Healthcare Providers Association, the National Council for Community Behavioral Healthcare, 1st Choice Health Systems and 1st Choice Services.</span></span>
<span style=""font-size: medium;""><span style=""color: #032b01;"">  </span></span>
<span style=""font-size: medium;""><span style=""color: #032b01;"">Services are funded in part by grants with the West Virginia Department of Health and Human Resources. Persons will not be denied services solely because of age, race, sex, handicap or inability to pay.</span>
</span>",counseling;mental-health-services,,(304) 788-4022,,1-304-788-2241,http://potomachighlandsguild.com/index.html,https://www.facebook.com/PotomacHighlandsGuild/,,3139
Hope Station,"<div class=""_5aj7 _3-8j"">
<div class=""_4bl9"">
<div class=""_3-8w"">HOPE Station Is A Wellness/Recovery Center For Consumers Of The Mental Health System.</div>
</div>
<div class=""_4bl7""></div>
</div>
<div class=""_5aj7 _3-8j"">
<div class=""_4bl7 _3-90 _a8s""><img class=""_1579 img"" src=""https://static.xx.fbcdn.net/rsrc.php/v3/y6/r/w_F0QQTmQi4.png"" alt="""" /></div>
<div class=""_4bl9"">
<div class=""_50f4"">Company Overview</div>
<div class=""_3-8w"">HOPE Station is a program of OCA Inc. All meals, activities are free to consumers of mental health services. Come and join fellow consumers for an evening of games, activities, crafts, and just plain old fun.</div>
</div>
</div>",mental-health-services,hopestation@atlanticbbn.net,240-362-7170,,240-362-7168,http://www.ocamd.org/,https://www.facebook.com/pg/HOPE-Station-359340106905/about/?ref=page_internal,,1623
Dr. Nava (Behavioral Health Provider),Local Outpatient Behavioral Health Provider,mental-health-services,,,,1-301-777-9330,,,,2242
Dr. Nagulendren (Behavioral Health Provider),Local Outpatient Behavioral Health Provider,mental-health-services,,,,301-777-9330,,,,2126
"Allegany Behavioral Medicine, LLC","<div id=""comp-j73h8shv3"" class=""s_SmHkWRichTextNewSkin"" data-reactid="".0.$SITE_ROOT.$desktop_siteRoot.$PAGES_CONTAINER.$centeredContent.$inlineContent.$SITE_PAGES.$ob0fm_DESKTOP.$inlineContent.$comp-j73h8shu9.$inlineContent.$mediaj73hb9em10/=1$mediaj73hb9em10.$inlineContent.$comp-j73h8shv.$inlineContent.$mediaj73hb9em16/=1$mediaj73hb9em16.$inlineContent.$comp-j73hayk51.$inlineContent.$comp-j73h8shv3"">
<p class=""font_7""><span class=""color_15"">Psychiatric services</span></p>

</div>
<div id=""comp-j73h8shv4"" class=""s_SmHkWRichTextNewSkin"" data-reactid="".0.$SITE_ROOT.$desktop_siteRoot.$PAGES_CONTAINER.$centeredContent.$inlineContent.$SITE_PAGES.$ob0fm_DESKTOP.$inlineContent.$comp-j73h8shu9.$inlineContent.$mediaj73hb9em10/=1$mediaj73hb9em10.$inlineContent.$comp-j73h8shv.$inlineContent.$mediaj73hb9em16/=1$mediaj73hb9em16.$inlineContent.$comp-j73hayk51.$inlineContent.$comp-j73h8shv4"">
<p class=""font_9""><span class=""color_15"">Deirdre Mull is a Psychiatric Mental Health Nurse Practitioner (PMHNP) with prescriptive authority practicing in Lavale, Maryland.  She sees clients, ages 5 years to 75 years, for psychiatric medication management and counseling.  Conditions treated include ADD, behavior disorders, depression, anxiety, bipolar, psychotic disorders, and sleep problems. Clients who are already meeting regularly with their own therapists are welcomed.</span></p>
<p class=""font_9""><span class=""color_15"">In addition to her PMHNP certification, Deirdre has over 17 years of experience as a Family Nurse Practitioner.  As a health care provider, she  recognizes the critical importance of physical health and wellness and its relationship to mental and spiritual health.  She will coordinate care with family, primary care doctors, and therapists as needed.</span></p>
<p class=""font_9""><span class=""color_15""><span class=""wixGuard"">​Allegany Behavioral Medicine, LLC, is a privately-owned mental health practice serving all ages. Medication management is provided by Deirdre Mull, ANCC Family Psychicatric NP/FNP, and licensed masters-level therapists, including full-time LCPC Amy Rowles-Shipley and other therapists, provide confidential, professional services in a quiet and soothing atmosphere. Most insurances are accepted inc<span class=""text_exposed_show"">luding Medicaid/Medicare. We provide a combination of supportive and integrative psychotherapy, as well as medication management, to all ages. Telepsychiatry, including medication evaluation, is now available out-of-network for new clients living out of the area or desiring the privacy and convenience of onlince services--please call for more information or to schedule a consultation.</span></span></span></p>
<p class=""font_9""><span class=""color_15"">Deirdre received her Masters in Nursing/FNP certification from University of Maryland, Baltimore, in 2000, and her Post-Masters certification as a PMHNP from Saint Louis University, Saint Louis, Missouri in 2013.  She has been working in the health care field since 1995 in the Western Maryland area in the local hospitals, Finan Center, private practices, nursing homes, and the local prisons.</span></p>
<p class=""font_9""><span class=""color_15"">She is also a proud veteran of the US Army and the Maryland Army National Guard, and welcomes veterans to her practice.
</span></p>

</div>",mental-health-services,info@alleganybehavioral.com,,,240-362-7077,https://www.alleganybehavioral.com/,https://www.facebook.com/alleganybehavioral,,3878
Zealand Psychological Assoc.,"<em><span style=""color: #660000;"">Helps people to develop their potential, recognize options
and alternatives and mobilize resources to deal with life's situations.</span></em>

Addresses the whole person in the physical, emotional, social/relational
and spiritual domains.

Assesses people in terms of integrated functioning and recognizes that
problems in one area of living may have an impact on other areas.

Provides a caring, trusting, nonjudgmental environment in which clients' values and integrity are respected.

Holds in strict confidence information that is revealed to us within therapy sessions and will not disclose any information without the written consent of client/patient.

Works cooperatively with families, health professionals, social service personnel, clergy, attorneys and others concerned with the client/patient.

When necessary, will make referrals to other professionals or agencies.

Adheres to the American Psychological Association's Standards for Providers of Psychological Services<span style=""font-size: large;"">. </span>",mental-health-services,zpa@atlanticbbn.net,(301)722-8001,,301-722-8000,http://www.zealandpsychologicalassociates.com/,https://www.facebook.com/pages/Zealand-Psychological-Associates/159101484122748,,1935
Garrett County Department of Social Services Bureau of Child Support,"<strong>Child Support Hours:</strong>
Mon-Fri, 8:00am-4:30pm",children,,,,301-533-3000,,,,4525
HRDC Public Senior Guardianship,"<header>
<h1 class=""title"">GUARDIANSHIP PROGRAM</h1>
</header>
<div class=""content clearfix"">

<img class=""alignnone size-full wp-image-168"" src=""http://alleganyhrdc.org/wp-content/uploads/2017/08/guardianshipprogram.jpg"" sizes=""(max-width: 444px) 100vw, 444px"" srcset=""http://alleganyhrdc.org/wp-content/uploads/2017/08/guardianshipprogram.jpg 444w, http://alleganyhrdc.org/wp-content/uploads/2017/08/guardianshipprogram-300x192.jpg 300w"" alt="""" width=""444"" height=""284"" />

Adult guardianship is a legal procedure in which a court of law determines that a person (age 65 or over) has disabilities which impair the person’s ability to make informed decisions, that the person is in need of protection, and that there is no less restrictive alternative. Guardianship is a way for the state, in form of the court, to enter into the life of an older adult to ensure that the person’s basic needs are met.

The Allegany County Area Agency on Aging (AAA) acts as guardian of last resort for such individuals, after all other higher priority alternatives have been exhausted. The guardian/designee takes an active part in the person’s life, providing case management services and advocating to meet his/her needs. Those services include but are not limited to health care intervention, arranging for legal representation and care coordination.

Prior to filing a guardianship petition, two physicians must certify that the person is incapable of making decisions. Both physicians must have examined the person and made a medical judgment regard the person’s mental capacity prior to completing the certificates. These certifications may become evidence in the case, or the doctors may be witnesses who testify in the case.

</div>",aging-populations,rkniseley@alleganyhrdc.org,,,301-783-1709,http://alleganyhrdc.org/guardianship-program/,,,3054
The Children's League- A Children's Place,"<span style=""color: #000000; font-family: Arial, Helvetica, sans-serif;""><strong>The Children's League,</strong>  incorporated as The League for Crippled Children, Inc., a non-profit 501 © (3) organization, has been in existence since 1926 and incorporated in 1934.  Initially, Dr. George Bennett of Baltimore, organized a clinic in Lonaconing just fifteen minutes from Cumberland, at the request of Mrs. Ann Sloan in 1926. Nearly 90 children attended the first clinic and many of those children were afflicted with polio. Shortly thereafter, Dr. Bennett and Dr. William S. Baer held the first clinic in Cumberland. Two clinics a year were scheduled.</span>

<span style=""color: #000000; font-family: Arial, Helvetica, sans-serif;"">Seven years later, the League was formally formed and incorporated, thanks to the founders, Miss Henrietta Schwartzenbach and Miss Elizabeth McLaughlin. The first two clinics sponsored by the League were conducted by Dr. Bennett with Dr. George Eaton assisting. 308 children were examined.</span>

<span style=""color: #000000; font-family: Arial, Helvetica, sans-serif;"">Since that time, over 40,000 children have been served. The League serves children birth to age 21 in Maryland, West Virginia and Virginia. All services at the League are FREE to ALL patients and families. Those services include orthopedic, cerebral palsy, cleft lip/cleft palate, speech therapy and physical therapy.</span>

Several orthopedic and cerebral palsy clinics are held throughout the year by pediatric orthopedic surgeons from Johns Hopkins Hospital and the Baltimore area. With no pediatric orthopedists in the Cumberland area families are well served through these League clinics. Physical therapy is offered to patients seen in clinic and that are recommended by physician to receive physical therapy.

The League manages and operates the Cumberland Cleft Clinic offering free services to cleft lip/palate children. A team of ten local physicians and specialists hold orofacial clinics twice each year. Headed by local plastic surgeon Dr. Rob Carpenter, Cumberland Cleft Clinic is committed to serving and meeting the needs of children with cleft lip and/or cleft palate.

The League also operates and manages the Scottish Rite Early Childhood Language Disorders Clinic. The clinic provides diagnostic evaluation and treatment of speech and language disorders in children. Children who may be behind for a lifetime are now given services that help them to speak, read, and equip them with the ability to lead productive lives.

The League operates strictly through donations, fundraising, memorials and bequests. The League receives no state or federal funds. A fifteen member volunteer Board of Directors governs the organization.",children;disabled-populations,childrensleague@yahoo.com,301.759.2677,,301.759.5200,,https://www.facebook.com/TheChildrensLeague/,,4456
